Emergency_Stage,Service,Urgency_Type,Waiting_Time,People_Waiting,Weekday,Day,Month,Season
3.0,Cirurgia,Urgncia Central,45.61594202898551,2.471014492753623,2,15,11,autumn
3.0,Medicina,Urgncia Central,69.01449275362319,9.22463768115942,2,15,11,autumn
3.0,Medicina,Urgncia Central,70.81818181818181,5.236363636363636,3,16,11,autumn
3.0,Cirurgia,Urgncia Central,40.03636363636364,2.0454545454545454,3,16,11,autumn
3.0,Cirurgia,Urgncia Central,37.903225806451616,4.0,4,17,11,autumn
3.0,Medicina,Urgncia Central,71.7258064516129,12.306451612903226,4,17,11,autumn
3.0,Cirurgia,Urgncia Central,39.97080291970803,2.1386861313868613,5,18,11,autumn
3.0,Medicina,Urgncia Central,90.91428571428571,5.207142857142857,5,18,11,autumn
3.0,Cirurgia,Urgncia Central,33.149253731343286,2.1940298507462686,6,19,11,autumn
3.0,Medicina,Urgncia Central,32.964285714285715,3.7857142857142856,6,19,11,autumn
3.0,Medicina,Urgncia Central,67.82608695652173,5.5,0,20,11,autumn
3.0,Cirurgia,Urgncia Central,42.63768115942029,2.2681159420289854,0,20,11,autumn
3.0,Medicina,Urgncia Central,47.67142857142857,6.385714285714286,1,21,11,autumn
3.0,Cirurgia,Urgncia Central,42.134453781512605,1.9411764705882353,1,21,11,autumn
3.0,Medicina,Urgncia Central,78.64539007092199,5.822695035460993,2,22,11,autumn
3.0,Cirurgia,Urgncia Central,40.41843971631206,2.4680851063829787,2,22,11,autumn
3.0,Cirurgia,Urgncia Central,42.98039215686274,2.5980392156862746,3,23,11,autumn
3.0,Medicina,Urgncia Central,75.77142857142857,7.421428571428572,3,23,11,autumn
3.0,Cirurgia,Urgncia Central,40.82442748091603,2.045801526717557,4,24,11,autumn
3.0,Medicina,Urgncia Central,55.41843971631206,6.134751773049645,4,24,11,autumn
3.0,Medicina,Urgncia Central,57.44927536231884,3.601449275362319,5,25,11,autumn
3.0,Cirurgia,Urgncia Central,46.5886524822695,2.1773049645390072,5,25,11,autumn
3.0,Cirurgia,Urgncia Central,48.652482269503544,2.801418439716312,6,26,11,autumn
3.0,Medicina,Urgncia Central,39.93617021276596,3.5319148936170213,6,26,11,autumn
3.0,Cirurgia,Urgncia Central,36.611510791366904,1.5467625899280575,0,27,11,autumn
3.0,Medicina,Urgncia Central,53.107142857142854,5.578571428571428,0,27,11,autumn
3.0,Medicina,Urgncia Central,97.66911764705883,9.948529411764707,1,28,11,autumn
3.0,Cirurgia,Urgncia Central,36.98529411764706,1.9705882352941178,1,28,11,autumn
3.0,Cirurgia,Urgncia Central,43.89855072463768,2.2028985507246377,2,29,11,autumn
3.0,Medicina,Urgncia Central,57.34532374100719,4.525179856115108,2,29,11,autumn
3.0,Medicina,Urgncia Central,62.90714285714286,4.5928571428571425,3,30,11,autumn
3.0,Cirurgia,Urgncia Central,48.61764705882353,2.0073529411764706,3,30,11,autumn
3.0,Cirurgia,Urgncia Central,38.4609375,2.546875,4,1,12,autumn
3.0,Medicina,Urgncia Central,36.70503597122302,3.4892086330935252,4,1,12,autumn
3.0,Cirurgia,Urgncia Central,40.57142857142857,2.5,5,2,12,autumn
3.0,Medicina,Urgncia Central,80.87142857142857,7.8428571428571425,5,2,12,autumn
3.0,Medicina,Urgncia Central,101.05673758865248,6.148936170212766,6,3,12,autumn
3.0,Cirurgia,Urgncia Central,36.59285714285714,1.7785714285714285,6,3,12,autumn
3.0,Cirurgia,Urgncia Central,34.24590163934426,1.639344262295082,0,4,12,autumn
3.0,Medicina,Urgncia Central,44.27407407407407,3.688888888888889,0,4,12,autumn
3.0,Medicina,Urgncia Central,68.57142857142857,6.328571428571428,1,5,12,autumn
3.0,Cirurgia,Urgncia Central,39.15714285714286,1.4142857142857144,1,5,12,autumn
3.0,Medicina,Urgncia Central,48.13178294573643,3.488372093023256,2,6,12,autumn
3.0,Cirurgia,Urgncia Central,48.65217391304348,3.0942028985507246,2,6,12,autumn
3.0,Cirurgia,Urgncia Central,41.41481481481482,1.5851851851851853,3,7,12,autumn
3.0,Medicina,Urgncia Central,76.94927536231884,7.13768115942029,3,7,12,autumn
3.0,Medicina,Urgncia Central,79.93525179856115,3.683453237410072,4,8,12,autumn
3.0,Cirurgia,Urgncia Central,33.253846153846155,1.4538461538461538,4,8,12,autumn
3.0,Cirurgia,Urgncia Central,35.118110236220474,1.330708661417323,5,9,12,autumn
3.0,Medicina,Urgncia Central,48.0709219858156,3.524822695035461,5,9,12,autumn
3.0,Cirurgia,Urgncia Central,35.45390070921986,1.3617021276595744,6,10,12,autumn
3.0,Medicina,Urgncia Central,43.709219858156025,2.7163120567375887,6,10,12,autumn
3.0,Medicina,Urgncia Central,65.3,8.392857142857142,0,11,12,autumn
3.0,Cirurgia,Urgncia Central,45.248,1.904,0,11,12,autumn
3.0,Medicina,Urgncia Central,107.93525179856115,6.525179856115108,1,12,12,autumn
3.0,Cirurgia,Urgncia Central,43.8046875,2.8046875,1,12,12,autumn
3.0,Medicina,Urgncia Central,53.03597122302158,5.510791366906475,2,13,12,autumn
3.0,Cirurgia,Urgncia Central,26.58273381294964,1.20863309352518,2,13,12,autumn
3.0,Cirurgia,Urgncia Central,47.175182481751825,3.0802919708029197,3,14,12,autumn
3.0,Medicina,Urgncia Central,65.45985401459853,4.8321167883211675,3,14,12,autumn
3.0,Medicina,Urgncia Central,49.32142857142857,4.9,4,15,12,autumn
3.0,Cirurgia,Urgncia Central,50.68613138686131,2.240875912408759,4,15,12,autumn
3.0,Medicina,Urgncia Central,45.98571428571429,3.6,5,16,12,autumn
3.0,Cirurgia,Urgncia Central,40.55395683453237,1.776978417266187,5,16,12,autumn
3.0,Cirurgia,Urgncia Central,43.44927536231884,2.8840579710144927,6,17,12,autumn
3.0,Medicina,Urgncia Central,68.94202898550725,5.949275362318841,6,17,12,autumn
3.0,Medicina,Urgncia Central,130.91666666666666,7.0227272727272725,0,18,12,autumn
3.0,Cirurgia,Urgncia Central,47.50757575757576,2.0,0,18,12,autumn
3.0,Medicina,Urgncia Central,82.13868613138686,8.313868613138686,1,19,12,autumn
3.0,Cirurgia,Urgncia Central,57.67716535433071,2.015748031496063,1,19,12,autumn
3.0,Cirurgia,Urgncia Central,51.697841726618705,2.3884892086330933,2,20,12,autumn
3.0,Medicina,Urgncia Central,83.5179856115108,5.151079136690647,2,20,12,autumn
3.0,Cirurgia,Urgncia Central,58.10071942446043,3.194244604316547,3,21,12,winter
3.0,Medicina,Urgncia Central,33.81428571428572,2.4642857142857144,3,21,12,winter
3.0,Cirurgia,Urgncia Central,50.46511627906977,2.124031007751938,4,22,12,winter
3.0,Medicina,Urgncia Central,68.25925925925925,7.525925925925926,4,22,12,winter
3.0,Medicina,Urgncia Central,45.24285714285714,2.8785714285714286,5,23,12,winter
3.0,Cirurgia,Urgncia Central,38.83571428571429,1.8857142857142857,5,23,12,winter
3.0,Cirurgia,Urgncia Central,43.46376811594203,1.826086956521739,6,24,12,winter
3.0,Medicina,Urgncia Central,71.11347517730496,4.446808510638298,6,24,12,winter
3.0,Medicina,Urgncia Central,70.52857142857142,4.207142857142857,0,25,12,winter
3.0,Cirurgia,Urgncia Central,40.22142857142857,1.7642857142857142,0,25,12,winter
3.0,Medicina,Urgncia Central,88.03571428571429,9.17142857142857,1,26,12,winter
3.0,Cirurgia,Urgncia Central,38.65573770491803,1.360655737704918,1,26,12,winter
3.0,Medicina,Urgncia Central,83.59574468085107,7.560283687943262,2,27,12,winter
3.0,Cirurgia,Urgncia Central,46.872,3.056,2,27,12,winter
3.0,Medicina,Urgncia Central,101.80434782608695,11.565217391304348,3,28,12,winter
3.0,Cirurgia,Urgncia Central,70.3840579710145,2.572463768115942,3,28,12,winter
3.0,Cirurgia,Urgncia Central,68.1830985915493,5.661971830985915,4,29,12,winter
3.0,Medicina,Urgncia Central,118.86619718309859,10.929577464788732,4,29,12,winter
3.0,Medicina,Urgncia Central,77.82978723404256,6.3120567375886525,5,30,12,winter
3.0,Cirurgia,Urgncia Central,85.31914893617021,3.1560283687943262,5,30,12,winter
3.0,Medicina,Urgncia Central,44.26618705035971,2.9784172661870505,6,31,12,winter
3.0,Cirurgia,Urgncia Central,40.92086330935252,1.7841726618705036,6,31,12,winter
3.0,Medicina,Urgncia Central,41.8,3.9285714285714284,0,1,1,winter
3.0,Cirurgia,Urgncia Central,35.1,0.6571428571428571,0,1,1,winter
3.0,Medicina,Urgncia Central,59.16546762589928,7.237410071942446,1,2,1,winter
3.0,Cirurgia,Urgncia Central,58.59055118110236,4.118110236220472,1,2,1,winter
3.0,Medicina,Urgncia Central,103.9,15.935714285714285,2,3,1,winter
3.0,Cirurgia,Urgncia Central,60.11029411764706,2.9044117647058822,2,3,1,winter
3.0,Cirurgia,Urgncia Central,122.31967213114754,4.385245901639344,3,4,1,winter
3.0,Medicina,Urgncia Central,241.3525179856115,19.25179856115108,3,4,1,winter
3.0,Medicina,Urgncia Central,113.73188405797102,6.9855072463768115,4,5,1,winter
3.0,Cirurgia,Urgncia Central,61.51449275362319,2.86231884057971,4,5,1,winter
3.0,Cirurgia,Urgncia Central,40.828828828828826,2.918918918918919,5,6,1,winter
3.0,Medicina,Urgncia Central,26.852941176470587,1.6397058823529411,5,6,1,winter
3.0,Medicina,Urgncia Central,33.23913043478261,2.398550724637681,6,7,1,winter
3.0,Cirurgia,Urgncia Central,39.751937984496124,0.8914728682170543,6,7,1,winter
3.0,Medicina,Urgncia Central,69.23357664233576,6.912408759124087,0,8,1,winter
3.0,Cirurgia,Urgncia Central,36.66423357664234,2.0875912408759123,0,8,1,winter
3.0,Cirurgia,Urgncia Central,47.265625,1.6875,1,9,1,winter
3.0,Medicina,Urgncia Central,41.06382978723404,1.9078014184397163,1,9,1,winter
3.0,Medicina,Urgncia Central,47.798561151079134,6.129496402877698,2,10,1,winter
3.0,Cirurgia,Urgncia Central,44.83453237410072,2.2014388489208634,2,10,1,winter
3.0,Cirurgia,Urgncia Central,52.24460431654676,2.3741007194244603,3,11,1,winter
3.0,Medicina,Urgncia Central,107.37857142857143,5.564285714285714,3,11,1,winter
3.0,Medicina,Urgncia Central,48.27142857142857,4.428571428571429,4,12,1,winter
3.0,Cirurgia,Urgncia Central,39.81159420289855,1.963768115942029,4,12,1,winter
3.0,Medicina,Urgncia Central,39.673758865248224,2.99290780141844,5,13,1,winter
3.0,Cirurgia,Urgncia Central,44.669064748201436,1.8992805755395683,5,13,1,winter
3.0,Cirurgia,Urgncia Central,38.14393939393939,2.0,6,14,1,winter
3.0,Medicina,Urgncia Central,28.80851063829787,1.4397163120567376,6,14,1,winter
3.0,Cirurgia,Urgncia Central,32.10144927536232,2.5579710144927534,0,15,1,winter
3.0,Medicina,Urgncia Central,67.94244604316546,8.748201438848922,0,15,1,winter
3.0,Medicina,Urgncia Central,149.77272727272728,6.287878787878788,1,16,1,winter
3.0,Cirurgia,Urgncia Central,44.0,0.5238095238095238,1,16,1,winter
3.0,Cirurgia,Urgncia Central,47.2093023255814,2.604651162790698,2,17,1,winter
3.0,Medicina,Urgncia Central,66.97674418604652,7.569767441860465,2,17,1,winter
3.0,Cirurgia,Urgncia Central,41.367924528301884,1.8396226415094339,3,18,1,winter
3.0,Medicina,Urgncia Central,63.74528301886792,6.245283018867925,3,18,1,winter
3.0,Cirurgia,Urgncia Central,41.367924528301884,1.8396226415094339,4,19,1,winter
3.0,Medicina,Urgncia Central,63.74528301886792,6.245283018867925,4,19,1,winter
3.0,Cirurgia,Urgncia Central,41.367924528301884,1.8396226415094339,5,20,1,winter
3.0,Medicina,Urgncia Central,63.74528301886792,6.245283018867925,5,20,1,winter
3.0,Cirurgia,Urgncia Central,41.367924528301884,1.8396226415094339,6,21,1,winter
3.0,Medicina,Urgncia Central,63.74528301886792,6.245283018867925,6,21,1,winter
3.0,Cirurgia,Urgncia Central,43.05555555555556,2.388888888888889,0,22,1,winter
3.0,Medicina,Urgncia Central,86.25,12.847222222222221,0,22,1,winter
3.0,Cirurgia,Urgncia Central,46.22142857142857,1.9142857142857144,1,23,1,winter
3.0,Medicina,Urgncia Central,81.56428571428572,6.45,1,23,1,winter
